Date,Dept,Is_Holiday ,IsHoliday,Month_Num,Price,Season,Store,Temperature,Weather_Category,Week_Num,Weekly_Sales,Year
2010-02-05 00:00:00,1,0,false,2,1015.687,Winter,30,39.05,Moderate,6,10158.77,2010
2010-02-05 00:00:00,1,0,false,2,1042.077,Winter,42,54.34,Moderate,6,10425.77,2010
2010-02-05 00:00:00,1,0,false,2,1128.073,Winter,37,45.97,Moderate,6,11283.23,2010
2010-02-05 00:00:00,1,0,false,2,1223.958,Winter,15,19.83,Cold,6,12239.38,2010
2010-02-05 00:00:00,1,0,false,2,1278.185,Winter,16,19.79,Cold,6,12786.85,2010
2010-02-05 00:00:00,1,0,false,2,1285.88,Winter,9,38.01,Moderate,6,12861.4,2010
2010-02-05 00:00:00,1,0,false,2,1471.138,Winter,29,24.36,Cold,6,14715.68,2010
2010-02-05 00:00:00,1,0,false,2,1550.596,Winter,21,39.05,Moderate,6,15501.96,2010
2010-02-05 00:00:00,1,0,false,2,159.068,Winter,33,58.4,Moderate,6,1586.58,2010
2010-02-05 00:00:00,1,0,false,2,1618.169,Winter,8,34.14,Moderate,6,16181.89,2010
2010-02-05 00:00:00,1,0,false,2,1697.315,Winter,41,30.27,Moderate,6,16971.05,2010
2010-02-05 00:00:00,1,0,false,2,1731.409,Winter,24,22.43,Cold,6,17309.89,2010
2010-02-05 00:00:00,1,0,false,2,1742.555,Winter,12,49.47,Moderate,6,17426.75,2010
2010-02-05 00:00:00,1,0,false,2,1777.738,Winter,25,21.1,Cold,6,17778.48,2010
2010-02-05 00:00:00,1,0,false,2,1811.815,Winter,40,14.48,Cold,6,18116.85,2010
2010-02-05 00:00:00,1,0,false,2,1818.811,Winter,31,39.05,Moderate,6,18187.71,2010
2010-02-05 00:00:00,1,0,false,2,1863.241,Winter,45,27.31,Cold,6,18628.11,2010
2010-02-05 00:00:00,1,0,false,2,1960.663,Winter,11,46.04,Moderate,6,19611.13,2010
2010-02-05 00:00:00,1,0,false,2,2030.123,Winter,17,23.11,Cold,6,20304.23,2010
2010-02-05 00:00:00,1,0,false,2,2034.898,Winter,34,35.44,Moderate,6,20347.48,2010
2010-02-05 00:00:00,1,0,false,2,2068.201,Winter,22,24.36,Cold,6,20686.31,2010
2010-02-05 00:00:00,1,0,false,2,2124.21,Winter,39,44.3,Moderate,6,21244.5,2010
2010-02-05 00:00:00,1,0,false,2,214.138,Winter,36,45.97,Moderate,6,2144.48,2010
2010-02-05 00:00:00,1,0,false,2,2150.108,Winter,19,20.96,Cold,6,21500.58,2010
